Director_id,Director_Name,Show_ID,Show_type,Show_Name,release_year,Rating,duration,Genre_name,description,Genre_ID,Actor_name,Actor_id,Rating_id,Source,year_of_award,Awards_id,Award_name
14,Julien Leclercq,3,TV Show,Ganglands,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure","To protect his family from a powerful drug lord, skilled thief Mehdi and his expert team of robbers are pulled into a violent and deadly turf war.",3,Effie Cannon,1717,3,"Goodwin, Fadel and Daugherty",2005,39,Best Actress
15,,22,TV Show,Resurrection: Ertugrul,2018,TV-14,5 Seasons,"International TV Shows, TV Action & Adventure, TV Dramas","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land.",22,Tad Hendren,920,22,"Trantow, DuBuque and Langworth",1988,385,Best Actor
16,,86,TV Show,Pokémon Master Journeys: The Series,2021,TV-Y7,1 Season,"Anime Series, Kids' TV","As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!",86,Cilka Mathis,1171,86,"Durgan, Koelpin and Walker",2006,650,Best Movie
17,Kemi Adetiba,74,Movie,King of Boys,2018,TV-MA,182 min,"Dramas, International Movies","When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything.",74,Wilton Cranston,1719,74,"McGlynn, Shields and Berge",2007,501,Best Album
18,Tom Shadyac,180,Movie,The Nutty Professor,1996,PG-13,95 min,"Comedies, Romantic Movies","After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance.",180,Kiele Propper,1583,180,"Stark, Bashirian and Deckow",1993,1240,Best Actress
21,Laura Brownson,263,Movie,Untold: Deal With the Devil,2021,TV-MA,78 min,"Documentaries, LGBTQ Movies, Sports Movies","Christy Martin broke boundaries and noses as she rose in the boxing world, but her public persona belied personal demons, abuse and a threat on her life.",263,Webb Fawlkes,1734,263,Dietrich-Orn,2012,1111,Best Actor
22,,38,TV Show,Angry Birds,2018,TV-Y7,1 Season,"Kids' TV, TV Comedies","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal.",38,Ola Rosander,1756,38,Terry-Kiehn,2010,915,Best Movie
24,,4,TV Show,Jailbirds New Orleans,2021,TV-MA,1 Season,"Docuseries, Reality TV","Feuds, flirtations and toilet talk go down among the incarcerated women at the Orleans Justice Center in New Orleans on this gritty reality series.",4,Tedi Meldon,594,4,Tremblay-Kautzer,2004,917,Best Script
25,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon",298,TV Show,Navarasa,2021,TV-MA,1 Season,TV Shows,"From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series.",298,Pieter Davidovitch,1068,298,"Metz, Tillman and Watsica",2007,393,Best Album
26,"Robert Cullen, José Luis Ucha",7,Movie,My Little Pony: A New Generation,2021,PG,91 min,Children & Family Movies,"Equestria's divided. But a bright-eyed hero believes Earth Ponies, Pegasi and Unicorns should be pals — and, hoof to heart, she’s determined to prove it.",7,Agosto Ambrosetti,1222,7,Donnelly-Abernathy,1995,608,Best Movie
27,Tensai Okamura,64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,2004,TV-PG,83 min,"Action & Adventure, Anime Features, International Movies","Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess.",64,Crissy Pothecary,1353,64,"Walker, Hane and Bartell",1992,1112,Best Script
28,,100,TV Show,On the Verge,2021,TV-MA,1 Season,"TV Comedies, TV Dramas","Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA.",100,Viviyan Gillbanks,147,100,Doyle Inc,2006,1489,Best Song
29,,51,TV Show,Dharmakshetra,2014,TV-PG,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains.",51,Darnell Lorne,463,51,Weber-Abbott,2004,606,Best Actress
30,,50,TV Show,Castle and Castle,2021,TV-MA,2 Seasons,"International TV Shows, TV Dramas","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage.",50,Imogene Briance,1196,50,Kiehn Inc,1992,853,Best Song
31,Joseph Sargent,45,Movie,Jaws: The Revenge,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there.",45,Ariela McGaugey,402,45,Rice-Parisian,1998,564,Best Album
32,Bunmi Ajakaiye,48,TV Show,The Smart Money Woman,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel.",48,Bald Peters,1376,48,Stroman-Thiel,2007,853,Best Script
33,,41,TV Show,He-Man and the Masters of the Universe,2021,TV-Y7,1 Season,"Kids' TV, TV Sci-Fi & Fantasy",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.,41,Kerby Benediktovich,348,41,Batz LLC,1991,708,Best Song
34,,112,TV Show,Sharkdog,2021,TV-Y,1 Season,Kids' TV,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure.",112,Mattie Golborn,336,112,Kertzmann Inc,2013,1216,Best Actress
36,Michael Martin,150,Movie,I Got the Hook Up,1998,R,93 min,"Action & Adventure, Comedies","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van.",150,Jone Petrazzi,2000,150,Jaskolski-Kihn,2008,1081,Critical recognition
37,,489,TV Show,Virgin River,2021,TV-14,3 Seasons,"Romantic TV Shows, TV Dramas","Searching for a fresh start, a nurse practitioner moves from LA to a remote northern California town and is surprised by what – and who – she finds.",489,Vyky Puckham,668,489,Bayer LLC,2004,264,Best Screenplay
38,David A. Vargas,72,Movie,A StoryBots Space Adventure,2021,TV-Y,13 min,Children & Family Movies,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.,72,Kerr Sieghard,1332,72,Osinski LLC,2012,809,Best Album
39,Adze Ugah,294,Movie,Slay,2021,TV-MA,86 min,"Comedies, International Movies, Romantic Movies","In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities.",294,Sadie Franck,687,294,Mayer-Sauer,1994,1056,Best Actor
41,,185,TV Show,Sparking Joy,2021,TV-PG,1 Season,Reality TV,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world.",185,Ryley Kentwell,1067,185,"Johnson, Schumm and Gutkowski",2008,967,Best Actor
42,Adam Salky,19,Movie,Intrusion,2021,TV-14,94 min,Thrillers,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning.",19,Gordan Santori,936,19,Jast Inc,2006,124,Best Script
43,Kristine Stolakis,318,Movie,Pray Away,2021,PG-13,102 min,"Documentaries, LGBTQ Movies","Ex-leaders and a survivor of the so-called ""conversion therapy"" movement speak out about its harm to the LGBTQ+ community and its devastating persistence.",318,Opaline Gellan,1429,318,Gutmann-Jerde,1997,994,Best Album
44,Steve Brill,265,Movie,Walk of Shame,2014,R,94 min,"Comedies, Independent Movies","After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime.",265,Christoper Mandrier,653,265,"Lueilwitz, Terry and O'Keefe",2012,1209,Best Actress
45,,161,TV Show,Major Dad,1992,TV-PG,4 Seasons,TV Comedies,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command.",161,Cleon Reichelt,695,161,Morissette Group,1993,1256,Best Album
46,,67,TV Show,Raja Rasoi Aur Anya Kahaniyan,2014,TV-G,1 Season,"Docuseries, International TV Shows","Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat.",67,Terence Riding,926,67,"Graham, Gutmann and D'Amore",1984,873,Best Song
47,Theodore Melfi,10,Movie,The Starling,2021,PG-13,104 min,"Comedies, Dramas",A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward.,10,Wallas Perryn,1038,10,"Kshlerin, Lakin and Carroll",1995,1151,Best Script
48,,221,TV Show,Family Reunion,2021,TV-PG,4 Seasons,"Kids' TV, TV Comedies","When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways.",221,Curtice Crowest,1514,221,"Cartwright, Macejkovic and Cartwright",2000,628,Best Actor
49,,267,TV Show,The Creative Indians,2020,TV-MA,1 Season,"Docuseries, International TV Shows","From chefs and comedians to filmmakers and fashion designers, India’s most notable imaginative minds share their artistic journeys.",267,Matti Shawl,1561,267,"Botsford, Boyle and Daugherty",2007,1390,Best Actor
50,,96,TV Show,The Circle,2021,TV-MA,3 Seasons,Reality TV,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000.",96,Camile Maffey,891,96,Schmitt Inc,2011,1236,Best Screenplay
52,,460,TV Show,Never Have I Ever,2021,TV-14,2 Seasons,"TV Comedies, TV Dramas, Teen TV Shows","After a traumatic year, all an Indian-American teen wants is to go from pariah to popular — but friends, family and feelings won’t make it easy on her.",460,Nari MacClure,902,460,"Daniel, Farrell and McClure",2011,334,Best Movie
53,Masahiko Murata,59,Movie,Naruto Shippûden the Movie: The Will of Fire,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land.",59,Anjanette Aldersey,1207,59,"Stiedemann, Schaefer and Dare",2011,333,Critical recognition
54,Tom Donahue,463,Movie,This Changes Everything,2019,TV-MA,96 min,Documentaries,This documentary takes a deep look at gender disparity in Hollywood through the eyes of well-known actresses and female filmmakers.,463,Wyatt Jeduch,750,463,"Murazik, Kerluke and Donnelly",1994,375,Best Song
55,Christian Schwochow,13,Movie,Je Suis Karl,2021,TV-MA,127 min,"Dramas, International Movies","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them.",13,Onida De Gregorio,1855,13,"Kuhn, Becker and Lockman",2006,1462,Best Movie
56,Ben Simms,76,Movie,You vs. Wild: Out Cold,2021,TV-G,106 min,Children & Family Movies,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure.",76,Ammamaria Ida,1193,76,Sporer and Sons,2002,1208,Best Screenplay
57,,125,TV Show,Pororo - The Little Penguin,2013,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows","On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur.",125,Philis Sighart,1239,125,"Thiel, Cassin and Klein",2011,288,Best Song
58,Kim Seong-hun,399,Movie,Kingdom: Ashin of the North,2021,TV-MA,94 min,"Horror Movies, International Movies, Thrillers","Tragedy, betrayal and a mysterious discovery fuel a woman's vengeance for the loss of her tribe and family in this special episode of ""Kingdom.""",399,Terri Sperling,1126,399,"Swift, Gerlach and Lindgren",1992,1038,Best Actor
59,,514,TV Show,Colony,2018,TV-14,3 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy","When LA is invaded by outside forces and becomes a walled-in settlement, a former FBI agent and his wife risk everything to find their lost son.",514,Hildagarde Edgworth,1086,514,"Hammes, Morissette and Zboncak",2003,266,Best Movie
60,,546,TV Show,YooHoo to the Rescue,2020,TV-Y,3 Seasons,"Kids' TV, Korean TV Shows","In a series of magical missions, quick-witted YooHoo and his can-do crew travel the globe to help animals in need.",546,Venita Bill,377,546,Kling-Ritchie,2006,698,Best Song
61,Roger Donaldson,229,Movie,The November Man,2014,R,108 min,Action & Adventure,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies.",229,Xenos Kausche,1201,229,Hane-Spinka,1998,973,Best Movie
63,Haile Gerima,8,Movie,Sankofa,1993,TV-MA,125 min,"Dramas, Independent Movies, International Movies","On a photo shoot in Ghana, an American model slips back in time, becomes enslaved on a plantation and bears witness to the agony of her ancestral past.",8,Timotheus Skouling,249,8,Ortiz-Harris,2012,764,Best Actress
64,Najwa Najjar,372,Movie,Pomegranates and Myrrh,2009,TV-14,95 min,"Dramas, Independent Movies, International Movies","After her husband is placed under Israeli detention, a Palestinian newlywed is left to deal with the fallout, resorting to her passion for Dabke to cope.",372,Curcio Pinner,222,372,Waelchi-Boyer,2000,1065,Best Script
65,Michael Rymer,151,Movie,In Too Deep,1999,R,97 min,Thrillers,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder.",151,Curtis Brookhouse,1012,151,"Simonis, Collier and Schultz",1977,1385,Best Movie
66,,84,TV Show,Metal Shop Masters,2021,TV-MA,1 Season,Reality TV,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize.",84,Gerik Janic,708,84,Shanahan Group,1994,78,Best Script
67,Sergio Leone,167,Movie,Once Upon a Time in America,1984,R,229 min,"Classic Movies, Dramas",Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.,167,Shanta Lean,1139,167,Kessler and Sons,2002,833,Best Song
68,Danishka Esterhazy,158,Movie,Level 16,2018,TV-14,102 min,"Sci-Fi & Fantasy, Thrillers","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape.",158,Magdaia Mapledoram,1515,158,Jenkins Group,2000,96,Best Script
69,Nagesh Kukunoor,117,Movie,Dhanak,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.,117,Dorolisa Lemm,231,117,Johnston Inc,2011,1237,Best Movie
70,,155,TV Show,Kuroko's Basketball,2015,TV-MA,3 Seasons,"Anime Series, International TV Shows, Teen TV Shows","Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory.",155,Nola Mosdall,1051,155,Frami-Fahey,1997,1072,Best Screenplay
72,,15,TV Show,Crime Stories: India Detectives,2021,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.,15,Beitris Furmagier,1227,15,"Conn, Roob and Mante",2004,694,Best Actress
73,Daniel Růžička,476,Movie,The Stand-Up,2019,TV-MA,93 min,Stand-Up Comedy,Members of the comedy group Na Stojáka take the stage and the mic by storm for a special night of stand-up comedy.,476,Averell Brenstuhl,1858,476,Cruickshank Inc,1995,1467,Best Movie
74,"Kirk DeMicco, Brandon Jeffords",301,Movie,Vivo,2021,PG,100 min,"Children & Family Movies, Music & Musicals",A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,301,Alden Collard,664,301,Steuber-Rowe,2011,1212,Best Movie
75,,243,TV Show,Comedy Premium League,2021,TV-MA,1 Season,"International TV Shows, TV Comedies","With satirical sketches, cheeky debates and blistering roasts, 16 of India’s wittiest entertainers compete in teams to be named the ultimate comedy champs.",243,Shelly Britzius,1150,243,Bashirian and Sons,2002,221,Best Movie
76,Olivier Megaton,21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows","In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America.",21,Valentia Soitoux,128,21,Johnston-Littel,1963,624,Best Screenplay
77,Delhiprasad Deenadayalan,79,Movie,Tughlaq Durbar,2020,TV-14,145 min,"Comedies, Dramas, International Movies",A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.,79,Vasily Carlos,1572,79,Weissnat Group,1992,523,Best Actor
78,"George Jackson, Doug McHenry",146,Movie,House Party 2,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash.",146,Katti Furney,703,146,"Rempel, Cruickshank and Skiles",1968,1144,Best Album
79,Renny Harlin,136,Movie,Cliffhanger,1993,R,113 min,Action & Adventure,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers.",136,Leila Castanaga,1123,136,Luettgen and Sons,2004,1104,Best Screenplay
80,,478,TV Show,Atypical,2021,TV-14,4 Seasons,"TV Comedies, TV Dramas, Teen TV Shows","When a teen on the autism spectrum decides to get a girlfriend, his bid for more independence puts his whole family on a path of self-discovery.",478,Ailsun Niave,255,478,Murazik-Blick,1994,1391,Best Album
81,,195,TV Show,Deadly Sins,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.,195,Gardiner Boldra,1445,195,"O'Reilly, Ledner and Maggio",1997,1294,Best Script
83,Rahul Rawail,115,Movie,Anjaam,1994,TV-14,143 min,"Dramas, International Movies, Thrillers","A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge.",115,Dorelle Boyse,1208,115,"Ankunding, Will and Goyette",2012,214,Best Movie
84,,75,TV Show,The World's Most Amazing Vacation Rentals,2021,TV-PG,2 Seasons,Reality TV,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series.",75,Marris Metzke,861,75,"Frami, Little and Simonis",2010,976,Best Movie
85,Michael Ritchie,177,Movie,The Golden Child,1986,PG-13,94 min,"Action & Adventure, Comedies",A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.,177,Jerrine Fawdery,1084,177,Ondricka-Cummerata,2002,521,Best Script
86,,18,TV Show,Falsa identidad,2020,TV-MA,2 Seasons,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.,18,Emlynne Philpott,953,18,Huels Inc,2010,497,Best Album
87,Len Wiseman,611,Movie,Underworld,2003,R,121 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",A vampire warrior begins to question her mission in the ancient war between the undead and werewolves when she falls for a human under her protection.,611,Kane Stibbs,536,611,Kuvalis Inc,2008,1286,Best Script
88,,90,TV Show,Mighty Raju,2017,TV-Y7,4 Seasons,Kids' TV,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!",90,Jorgan Bacup,242,90,Schulist Group,1994,389,Critical recognition
89,Ridley Scott,132,Movie,Blade Runner: The Final Cut,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants.""",132,Atlanta Beachem,174,132,Marquardt-Wolf,2007,1418,Best Script
90,Tony Scott,355,Movie,The Last Boy Scout,1991,R,105 min,"Action & Adventure, Comedies",Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner.,355,Kimmi McCague,130,355,"Lesch, Reichert and Haag",2008,1197,Best Song
91,Laxman Utekar,388,Movie,Mimi,2021,TV-14,132 min,"Comedies, Dramas, International Movies","An aspiring actress in a small town agrees to bear a child for a visiting couple seeking a surrogate mother, but her experience takes unexpected turns.",388,Idaline Mulheron,510,388,Haley-Koelpin,1996,673,Critical recognition
92,Howard Zieff,345,Movie,My Girl 2,1994,PG,99 min,"Children & Family Movies, Comedies, Dramas",A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met.,345,Britni Govett,464,345,Kilback and Sons,2004,1462,Critical recognition
93,,467,TV Show,My Unorthodox Life,2021,TV-MA,1 Season,Reality TV,"Follow Julia Haart, Elite World Group CEO and a former member of an ultra-Orthodox Jewish community, and her adult kids in this reality series.",467,Jodie Bussens,1752,467,"Orn, Leuschke and Hilll",2009,1380,Best Actor
94,"Cavi Borges, Luciano Vidigal",303,Movie,City of God: 10 Years Later,2013,TV-MA,69 min,"Documentaries, International Movies","A decade after the seminal Brazilian film ""City of God,"" this documentary reunites some of the cast and crew to find out what paths their lives took.",303,Waylon Gatchel,1618,303,"Kihn, Flatley and Ferry",2000,1310,Best Actress
96,,531,TV Show,Richie Rich,2015,TV-G,2 Seasons,"Kids' TV, TV Comedies","After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure.",531,Andi Thresh,1617,531,Daniel-Ernser,1997,688,Critical recognition
99,Rajiv Chilaka,423,Movie,Chhota Bheem: Journey to Petra,2011,TV-Y7,68 min,Children & Family Movies,"The king has been away to meet an old friend, but when he sends for urgent help, Bheem finds himself on an action-packed rescue mission to Egypt!",423,Angelina Monckton,227,423,Volkman LLC,2009,1064,Best Song
101,Matt Thompson,619,Movie,America: The Motion Picture,2021,TV-MA,98 min,"Action & Adventure, Comedies",A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,619,Isidore Dionsetti,1090,619,Bernhard Group,2003,536,Best Actress
112,Amy Rice,174,Movie,Snervous Tyler Oakley,2015,PG-13,83 min,"Documentaries, LGBTQ Movies","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour.",174,Sibella Vines,917,174,"Stiedemann, Schroeder and Auer",2013,46,Best Actress
114,,34,TV Show,Squid Game,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",34,Kynthia Crips,1805,34,Larkin-Kub,2000,810,Best Script
118,Tyler Greco,46,Movie,My Heroes Were Cowboys,2021,PG,23 min,Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen.",46,Araldo Pottage,1804,46,Conroy Inc,2004,453,Best Screenplay
129,Catherine Hardwicke,452,Movie,Twilight,2008,PG-13,122 min,"Action & Adventure, Dramas, Romantic Movies","When Bella Swan moves in with her father, she starts school and meets Edward, a mysterious classmate who reveals himself to be a 108-year-old vampire.",452,Amitie Halt,1695,452,Bahringer Group,1985,771,Best Song
143,,626,TV Show,Somos.,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","The lives of the people of Allende, a Mexican border town, are overtaken by a powerful cartel's operations, leading to tragedy. Inspired by true events.",626,Kerianne Grigoletti,1816,626,Schultz-Kuphal,1990,851,Best Movie
144,Mark Helfrich,338,Movie,Good Luck Chuck,2007,R,99 min,"Comedies, Romantic Movies","Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right.",338,Linzy Greneham,1455,338,"Batz, Davis and Rutherford",1999,492,Best Song
156,Paul Thomas Anderson,342,Movie,Magnolia,1999,R,189 min,"Dramas, Independent Movies","Through chance, history and divine intervention, a cast of eclectic characters weaves and warps through each other's lives on a random day in California.",342,Catharine Medmore,1998,342,"Lynch, Auer and Carroll",2012,1044,Best Actor
